question,answer
人事評価システムで目標設定を入力する方法は？,管理画面の「目標設定」タブから該当年度を選択し、各評価項目に対して具体的なKPIと期日を入力してください。上司承認を得た後、チャット機能で通知されます。
小学校のスクールバス利用登録をするには？,通学許可申請書とバス利用申込書を学校事務局へ提出し、保護者面談を経て、利用許可証が交付されます。利用料は口座振替で毎月引き落とされます。
学術会議で演題登録を行う際、抄録文字数に制限はありますか？,抄録は400文字以内、図表は1点までと規定されています。詳細は開催要項の「演題募集要綱」に記載されている文字数制限をご確認ください。
自動車整備工場で車両点検予約をオンラインで行う方法は？,自動車メーカーの公式サイトまたは提携整備工場Webサイトで「点検予約」ページにアクセスし、車検証情報と希望日時を入力して送信してください。自動返信メールにて予約内容が確認できます。
オンライン心理カウンセリングで匿名相談をする方法は？,カウンセリング予約ページで「匿名希望」にチェックを入れ、ニックネームとメールアドレスを入力して登録してください。通話時には音声変換機能を利用することも可能です。
データセンターでラックスペースをレンタルする際の最低契約期間は？,一般的には契約期間は6カ月以上が条件ですが、プロモーション期間中は3カ月から契約可能な場合があります。契約前に必ずサービス約款をご確認ください。
ソフトウェアライセンスキーを紛失した場合の再発行手続きを教えてください。,開発元のライセンス管理ポータルにログインし、「ライセンス再発行申請」を選択して購入時のメールアドレスを入力すると、再発行用リンクがメールで届きます。本人確認後に新しいキーが発行されます。
内部統制報告書を作成する際に必要な添付資料は何ですか？,業務フロープロセスマップ、リスク評価シート、内部監査報告書、改善計画書、組織図などを添付します。詳細は金融庁のガイドラインに準拠してください。
ペットホテルでペットの健康状態を事前に登録する方法は？,ペットホテルWebサイトの「ペット情報登録」フォームにワクチン証明書のコピー、既往歴、アレルギー情報をアップロードして登録してください。登録完了後、利用日当日に健康チェックを行います。
自転車保険にオンラインで加入する際の必要情報は何ですか？,被保険者の氏名、生年月日、住所、自転車購入日、使用目的（通勤・通学・レジャー）を入力し、車体番号を登録してください。申込完了後、保険証書がメールで送付されます。
労働安全衛生教育をeラーニングで受講する方法は？,企業が契約するオンライン教育プラットフォームの受講URLからログインし、受講履歴管理画面で「労働安全衛生教育」を選択して受講を開始してください。修了証はPDFで発行されます。
航空券の払い戻しをオンラインで申請する方法を教えてください。,購入した航空会社のマイページにログインし、「予約管理」→「払い戻し申請」を選択します。画面の案内に従い、口座情報を入力して申請すると数週間で返金されます。
美容クリニックで施術後のアンチエイジングケア製品を購入する方法は？,クリニックの公式オンラインストアから購入できます。会員登録後、施術部位に合わせた製品を選択し、クーポンコード（施術時に発行されたもの）を入力すると割引が適用されます。
輸出入代行業者に見積もりを依頼する際に必要な貿易書類は何ですか？,インボイス、パッキングリスト、契約書コピー、輸出入許可証（該当する場合）、船積指示書をPDFで準備し、メールで送付してください。
工場自動化機器の導入補助金申請を検討しています。申請要件は何ですか？,中小企業者であること、設備投資が生産性向上に資すること、事業計画書を提出し、補助率や上限額を満たすことが必要です。経済産業省の公募要領に詳細が記載されています。
レンタルオフィスで名刺用住所として使用するには何が必要ですか？,契約時に「登記利用オプション」を選択し、登記申請書類を提出してください。事後に登記が可能な証明書一式を発行し、名刺に記載できる住所となります。
大学の研究費精算書を電子申請する方法は？,大学ポータルにログインし、研究費管理システムの「経費精算」メニューから申請フォームを立ち上げ、領収書画像をアップロードして申請してください。承認状況は画面で確認できます。
AIチャットボットを自社サイトに埋め込む手順は？,提供元の管理画面でチャットウィジェットのスクリプトタグを生成し、自社サイトのヘッダー部に貼り付けるだけで埋め込み完了です。カスタマイズはウィジェット設定画面で行えます。
産業ガスの配管工事を依頼する際に必要な情報は何ですか？,配管レイアウト図、使用ガスの種類・圧力・流量、配管材質、設置場所の寸法を事前に用意し、業者に共有してください。安全試験項目の確認も必要です。
動画配信プラットフォームでDRMを有効化する方法を教えてください。,管理画面の「コンテンツ設定」からDRMオプションを選択し、DRMプロバイダー情報（キーIDやライセンスサーバーURL）を入力すると動画ファイルに暗号化がかかります。
行政書士に建設業許可申請を依頼する際の費用相場はいくらですか？,標準的な費用は、知事許可の場合で15万円～20万円程度、国土交通大臣許可の場合は20万円～30万円程度です。別途実費（収入印紙代や登録免許税）がかかります。
ホテルの長期滞在プランを申し込むと割引率はどれくらいになりますか？,30泊以上の滞在で最大20%割引が適用されます。60泊を超えるとさらに追加で10%割引があり、合計最大30%オフとなります。詳細はプラン紹介ページをご確認ください。
キャリア形成支援助成金を申請するための手続きはどのように行いますか？,管轄労働局の雇用環境・均等部門に「助成金支給申請書」と研修計画書を提出し、事前承認を受けた後、研修実施後に実績報告を行います。申請には労働協約の提出も必要です。
オンライン株取引で信用取引口座を開設する方法は？,証券会社のマイページで「信用取引口座開設申込」を選択し、必要情報（勤務先、年収、投資経験など）を入力・同意して送信してください。審査通過後、取引が可能になります。
フィンテック企業向けにAPI連携を依頼する際に必要な情報は何ですか？,利用したいAPIエンドポイント、認証方式（OAuth2.0等）、リクエスト・レスポンス仕様書、サンドボックス環境の有無を明確に記載してください。
遠隔医療機器のセキュリティ評価を外部委託する際の選定基準は？,医療機器情報セキュリティガイドラインに準拠した評価実績、ISO/IEC 27001認証取得状況、守秘義務契約の締結実績、ペネトレーションテストの経験があるかどうかを確認してください。
歯科技工所で3Dプリンタを導入するための初期コストはどれくらいですか？,中級機種であれば本体価格が約50万円から100万円程度、材料費やメンテナンス費用を含めると初期コストは150万円前後が相場です。ソフトウェアライセンス料も別途必要です。
自動運転車の実証実験を行う際の道路使用許可はどこで取得しますか？,国土交通省道路局の「自動運転実証実験等支援コンソーシアム」を通じて申請し、警察署や道路管理者と協議のうえ、道路使用許可を取得してください。申請書には走行ルート、車両仕様、安全対策計画を添付します。
シニア向けスマートホームサービスを契約する際に必要な機器は何ですか？,基本的にスマートセンサー（居室人感・ドア開閉）、緊急通報ボタン、モバイルルーター、専用タブレットが必要です。契約時に初期設置サポートが付いています。
観賞魚販売店で水質検査キットを購入する際、製品選定のポイントは何ですか？,測定項目（pH、アンモニア、亜硝酸塩など）と検出範囲、測定誤差、キット内の試薬期限を確認してください。定期的に検査する場合は複数回使えるタイプを選ぶとお得です。
電力小売り事業者に切り替える手続きはどう行いますか？,新電力会社のWebサイトで「お申し込みフォーム」に現在契約中の電力会社、契約ID、住所などを入力してください。切替え手続きは契約者が行い、切替完了後に新電力会社から通知が届きます。契約解除料は原則発生しません。
歯科用インプラントのメンテナンスプランを申し込むには？,治療終了後、担当歯科医師からメンテナンスプログラムの案内があり、契約書にサインすると定期検診チケットが発行されます。検診は6カ月ごとが推奨されています。
プロジェクトマネジメントツールでガントチャートを印刷する方法は？,表示画面の「印刷プレビュー」を開き、表示範囲を設定した後、PDF出力またはプリンタ印刷を行うことでガントチャートを紙に出力できます。
レンタルバッテリーの交換を依頼する際の連絡方法は？,専用アプリの「交換依頼」ボタンをタップし、シリアル番号を入力して申請してください。最寄りのステーションから新しいバッテリーが到着し、交換完了の通知が届きます。
地方銀行でリモート口座開設を行う場合、必要な本人確認資料は何ですか？,運転免許証またはパスポートなど顔写真付き本人確認書類の画像、およびマイナンバー通知カードの両面画像をアップロードしてください。審査通過後、カードが郵送されます。
公共交通ICカードを事業者向けに一括購入するにはどうすればよいですか？,ICカード発行事業者の営業窓口へ見積もり依頼をし、発行枚数とオリジナルデザインのデータを提出してください。最低発行枚数や納期を確認のうえ契約手続きを行います。
クラウド型ERPでAPIキーの発行手順を教えてください。,管理画面の「開発者設定」→「APIキー管理」で「新規APIキー発行」をクリックし、用途と有効期限を設定すると、キーが自動生成されます。発行後はキーの漏洩に注意してください。
自動車教習所で大型二輪免許に必要な教習時間はどれくらいですか？,技能教習が16時間、学科教習が26時間必要です。普通二輪免許を所持していない場合はさらに技能8時間、学科8時間が追加されます。
電子カルテシステムで外部検査結果を取り込む方法は？,HL7 FHIRなどの医療情報標準プロトコルに対応したインターフェースを設定し、検査機関から送信された検査結果を自動で取り込みます。初期設定はベンダーサポートが必要です。
翻訳会社に多言語ウェブサイトのSEO対策を依頼するには？,原文の主要キーワードと対応するターゲット言語のキーワードリストを提供し、翻訳と同時にMETAタグや見出しタグの最適化を依頼してください。SEO専門の翻訳チームが対応します。
クリニックで予防接種の予約をキャンセルするには？,予約確認メールに記載されているキャンセルリンクをクリックし、キャンセル理由を選択してください。電話の場合は、受付時間内に予約番号を伝えて手続きを行います。
産業機器の保守部品を発注する際、型番がわからない場合の調べ方は？,機器に貼付されている銘板や取扱説明書の部品表を確認してください。オンラインマニュアルに型番別部品リストが掲載されています。メーカーサポートに機器シリアル番号を伝えて確認する方法もあります。
ビル清掃契約で床材に合わせた洗剤選定を依頼する場合、どのように伝えればよいですか？,清掃業者に床材の種類（大理石、タイル、OAフローリング等）と仕上げ希望（ツヤあり・マット）を伝えると、最適な洗剤とワックスを選定して提案してくれます。
オンライン教材プラットフォームでコース修了証を発行するには？,受講コースの全レッスンを視聴し、最終試験に合格すると、自動的に修了証がマイページでダウンロード可能になります。印刷も可能です。
不動産管理システムで家賃督促状を自動作成する方法は？,システムの「督促管理」機能で未払いデータを選択し、督促状テンプレートを指定すると、入居者別の督促状PDFが一括生成されます。郵送代行オプションもあります。
インフルエンサー向け商品のサンプル依頼をする際の送付先指定方法は？,サンプルフォームにインフルエンサーのチャンネル名、送付先住所、連絡先を入力してください。送付前に事前承諾を得たインフルエンサーには、配送状況をリアルタイムで共有します。
オンライン学会で演者リハーサルを設定するにはどうすればよいですか？,学会運営事務局から送付された「リハーサル招待リンク」をクリックし、指定日時にアクセスしてください。主催者側でマイク・カメラ設定を事前にチェックします。
高圧ガス設備更新工事の届け出先はどこですか？,都道府県の労働局または消防本部の保安課に「高圧ガス製造保安責任者変更届」や「設備変更届」を提出してください。工事前に技術基準適合証明書が必要です。
動画編集サービスで納品前にプレビュー確認を依頼する方法は？,クラウド共有リンク（VimeoやGoogle Drive）をクリエイターチームに送付し、コメント機能で修正箇所を指定してください。確認後に最終納品版をアップロードします。
自動車部品メーカーでCAE解析を依頼するときに必要な入力データは何ですか？,部品の3D CADデータ（STEPまたはIGES形式）、材料特性値（引張強度、ヤング率など）、荷重・境界条件をまとめた解析仕様書を用意してください。
オンラインヨガレッスンのキャンセルポリシーを教えてください。,レッスン開始24時間前までのキャンセルは無料、それ以降はレッスン1回分が消化となります。キャンセルはマイページから手続きが可能です。
医療機関向け紙カルテを電子カルテに移行する際の手順は？,①スキャニング業者選定②紙カルテをスキャンして電子化③OCR処理とデータ整備④電子カルテシステムへのデータインポート⑤スタッフ向け操作研修⑥運用テストを実施します。
ホテルのバーでワインリストを事前に確認するにはどこを見ればよいですか？,ホテル公式Webサイトの「ダイニング」→「バー」ページにPDF形式のワインリストが掲載されています。また、宿泊予約時にリクエストすることでメールで送付してもらえます。
介護施設で入居前に生活ケアプランを作成する流れは？,ケアマネジャーと面談し、本人とご家族の希望をヒアリングします。その後、職員会議でケアプラン案を作成し、施設長の承認後に正式プランとして入居者と共有します。
自律航行ロボットのソフトウェアアップデートを遠隔で実施する方法は？,ロボットがインターネットに接続されている場合、管理クラウドの「OTA（Over-The-Air）アップデート」機能を使用し、最新版ファームウェアをプッシュ更新します。ロボット側で再起動後、自動適用されます。
飲食店でQRコード決済を導入する際の手数料はどれくらいですか？,各QRコードブランドによって異なりますが、概ね決済金額の2.0%～3.5%が加盟店手数料として発生します。初期導入費用は無料のケースが多いです。
工業用排水の分析を外部ラボに依頼する際、必要なサンプル量はどれくらいですか？,一般的には1リットル程度のサンプルが必要です。pHや温度が変化しやすい場合は、冷却した状態で4℃以下で送付してください。送付時に採水日時と場所を明記します。
IT資産管理システムでソフトウェアライセンスの過不足を調査する方法は？,エージェントを各PCにインストールし、ソフトウェアインベントリ収集を実行します。管理画面の「ライセンス管理」機能で購入ライセンス数と実際のインストール数を比較できます。
空撮サービスを利用する場合、著作権や肖像権の注意点は何ですか？,撮影対象が他人の所有物や人物の場合、事前に許可を得る必要があります。公共施設上空は条例により飛行制限がある場合がありますので、事前に管轄の航空局や自治体へ確認してください。
電動工具の修理を依頼する際、修理査定にかかる期間はどれくらいですか？,修理依頼品到着後、通常5営業日以内に初期診断と見積もり結果をメールまたはFAXで通知します。部品取り寄せが必要な場合はさらに1～2週間かかることがあります。
オンライン診療で睡眠薬を処方してもらう際の注意点は？,医師の判断によっては初回は対面診療が必要となる場合があります。また、向精神薬の処方には医師が患者の状態を適切に把握することが求められるため、定期的にオンライン follow-upを受けてください。
クラウドバックアップサービスの復元テストを実施する手順は？,管理コンソールから「復元テスト」機能を選択し、対象バックアップポイントと復元先を指定してテスト実行します。テスト完了後はログを確認し、データ整合性をチェックしてください。
無人島リゾートでアクティビティを予約するにはどうすればよいですか？,公式Webサイトの「アクティビティ予約」ページで希望日、プログラム（シュノーケリング、シーカヤック等）を選択し、宿泊予約番号を入力して申し込んでください。現地ガイドが案内します。
飲食店で食品ロス削減の取り組みを行いたいが、どこから始めればよいですか？,まず在庫管理を徹底し、食材の使用履歴を可視化します。余剰食材はフードシェアリングサービスに登録し、販売前にキャンセルされた予約分はサブスク型割引を導入して需要を平準化すると効果的です。
工務店でリフォーム後のアフターサービスはどのような内容ですか？,竣工後1年以内は無料点検を実施し、雨漏りや設備不具合は無償で修繕します。保証期間は構造躯体5年、防水工事2年が一般的です。延長保証プランもご用意しています。
フライトシミュレーター施設で利用前に必要な手続きは？,事前にWebサイトで来場予約を行い、利用規約に同意のうえ、身分証明書を提示してください。開始前に簡単な操作説明を受け、体験する機体を選択します。
クラウドPBXで外線通話録音を有効化する手順は？,管理画面の「通話管理」→「録音設定」で「通話録音」をONにし、録音対象の内線番号を選択します。変更後、録音データは「録音データ」欄でダウンロード可能です。
ITセキュリティ監査を外部委託する際の主要チェック項目は何ですか？,ネットワーク構成の脆弱性スキャン、社内ポリシー遵守状況、アクセス権限管理、ログ管理体制、EDIやVPN設定の検証などが主要項目です。
このエコバッグはどのようなリサイクル素材から作られていますか？,こちらのエコバッグは、回収されたペットボトルを再生したポリエステル繊維を100%使用しています。
絵画の真贋鑑定を依頼したいのですが、どのような手続きが必要ですか？,まず作品の写真と来歴情報をお送りください。その後、専門の鑑定士が実物を拝見し、鑑定書を発行いたします。鑑定料は作品によって異なります。
初心者向けの刺繍キットには何が含まれていますか？,刺繍枠、針、糸、図案がプリントされた布、日本語の説明書が含まれており、すぐに始められます。
毎月届くコーヒーのサブスクリプションボックスで、豆の種類を指定できますか？,はい、マイページからお好みの焙煎度合いや風味（フルーティー、ナッティなど）を選択いただくことで、ある程度カスタマイズが可能です。
Webデザインコースの受講に必要なPCのスペックを教えてください。,最新のOS（Windows 10以降、macOS Big Sur以降）、メモリ8GB以上、SSD256GB以上を推奨しています。デザインソフトが快適に動作する環境が必要です。
退職金制度のコンサルティングをお願いする場合、どのような流れになりますか？,現状の制度分析、貴社のご要望ヒアリング、制度設計のご提案、導入サポート、規程作成支援という流れで進めさせていただきます。
マウンテンバイクツアーに参加したいのですが、ヘルメットなどの装備はレンタルできますか？,はい、ヘルメット、グローブ、プロテクターなどの基本的な安全装備はツアー料金に含まれており、レンタル可能です。
シロアリ駆除をお願いした場合、薬剤の安全性は大丈夫ですか？,当社の使用する薬剤は、日本しろあり対策協会認定の安全性の高いものです。施工前に詳細をご説明し、ご希望に応じてMSDS（製品安全データシート）もご提示します。
SaaSツールのAPIを利用して外部システムと連携したいのですが、ドキュメントはありますか？,はい、開発者向けにAPIリファレンスと連携ガイドをウェブサイトで公開しております。APIキーの発行は管理者アカウントから行えます。
このオーガニックチョコレートのカカオ豆の産地はどこですか？,ペルー産の有機栽培カカオ豆（クリオロ種）を100%使用しています。シングルオリジンならではの風味をお楽しみいただけます。
アロマトリートメントを受ける際に気をつけることはありますか？,妊娠中の方、特定の疾患をお持ちの方、アレルギー体質の方は事前にお申し出ください。施術直前の食事はお控えいただくことをお勧めします。
公園のバーベキュー施設の予約方法を教えてください。,市のウェブサイトからオンラインでご予約いただけます。利用日の1ヶ月前から予約可能です。区画数に限りがありますので、お早めにご予約ください。
電気自動車（EV）の家庭用充電設備の設置には補助金が出ますか？,国や自治体によって、EV用充電設備の設置に対する補助金制度が設けられている場合があります。お住まいの自治体の窓口やウェブサイトでご確認ください。
事業用のテナント物件を探しています。どのような情報を提供してもらえますか？,ご希望のエリア、業種、面積、予算などをお伺いし、最適な物件情報をご提供します。周辺の市場データや競合情報なども合わせてご案内可能です。
中小企業向けのクラウド型電話システム（VoIP）の導入メリットは何ですか？,初期費用や通信コストの削減、場所を選ばない柔軟な働き方の実現、電話番号ポータビリティ、豊富なビジネス機能（IVR、通話録音など）がメリットとして挙げられます。
この知育パズルは何歳から遊べますか？,対象年齢は3歳以上となっております。細かいピースが含まれますので、小さなお子様が遊ぶ際には保護者の方が付き添ってください。
写真入りマグカップを作成したいのですが、納期はどれくらいですか？,デザイン確定後、通常7営業日程度で発送いたします。お急ぎの場合は、特急オプション（別途料金）もご利用いただけます。
結婚式場の見学予約をしたいのですが、所要時間はどのくらいですか？,会場のご案内、プラン説明、お見積もり作成、質疑応答などを含め、約2時間～3時間程度お時間を頂戴しております。
リーダーシップ研修のプログラム内容について詳しく教えてください。,目標設定、コミュニケーションスキル、部下育成、チームビルディング、意思決定などのモジュールで構成され、実践的なワークやケーススタディを多く取り入れています。
SEO対策サービスでは、どのようなキーワードを選定しますか？,お客様のビジネス内容、ターゲット顧客、競合サイトの状況などを分析し、検索ボリュームとコンバージョン率のバランスを考慮した上で、最適なキーワード群をご提案します。
フェアトレード認証のコーヒー豆は取り扱っていますか？,はい、当店では国際フェアトレード認証を受けた複数の産地のコーヒー豆を取り揃えております。
アンティーク時計のオーバーホールをお願いしたいのですが、費用と期間はどのくらいかかりますか？,時計のメーカー、モデル、状態によって異なります。お預かり後、技術者が見積もりと納期をご連絡いたします。通常、見積もりに1週間、修理に1ヶ月程度かかります。
マクラメ編みのキットで、完成品のサイズはどれくらいになりますか？,タペストリーキットの場合、約30cm x 50cm程度のサイズになります。使用する紐の太さや編み方によって多少変動します。
日本酒のサブスクリプションで、甘口や辛口など好みを伝えられますか？,はい、ご登録時のアンケートやマイページで、お好みの味わい（甘口・辛口・淡麗・濃醇など）や香りのタイプをご指定いただけます。
データサイエンス講座の受講にあたり、プログラミング経験は必要ですか？,Pythonの基本的な知識があることが望ましいですが、未経験者向けの準備コースもご用意しておりますのでご安心ください。
個人型確定拠出年金（iDeCo）の運用商品を選ぶ際のアドバイスはもらえますか？,お客様のリスク許容度や運用目標、年齢などを考慮し、一般的な情報提供や商品ラインナップのご説明は可能ですが、具体的な投資助言は行っておりません。
オーロラ鑑賞ツアーのベストシーズンはいつですか？,一般的に、北半球では9月から3月の暗く晴れた夜がオーロラ鑑賞に適しています。特に11月から2月がピークシーズンと言われています。
庭の植木が病気のようなのですが、診断してもらえますか？,はい、樹木医の資格を持つ専門スタッフが現地に伺い、植木の診断と適切な処置方法をご提案いたします。
CRMツールの導入支援をお願いできますか？初期設定やデータ移行も含まれますか？,はい、お客様の業務に合わせたCRMツールの選定から初期設定、既存データの移行、操作トレーニングまでトータルでサポートいたします。
この生ハムはどのように保存すれば良いですか？開封後の賞味期限は？,未開封の場合は冷蔵庫でパッケージ記載の賞味期限まで保存可能です。開封後は乾燥しないようにラップで包み、冷蔵庫で保管し、2～3日中にお召し上がりください。
ホットストーンセラピーはどのような効果が期待できますか？,温められた石の遠赤外線効果で血行を促進し、筋肉の緊張を和らげ、深いリラクゼーション効果や冷え性の改善などが期待できます。
市民農園の利用申し込みはいつからできますか？,毎年2月頃に次年度の利用者募集を行います。広報誌や市のウェブサイトで詳細をお知らせしますのでご確認ください。
ハイブリッド車のバッテリー交換費用はどのくらいですか？,車種やバッテリーの種類によって大きく異なりますが、一般的に数十万円程度かかる場合がございます。ディーラーや専門業者にお見積もりをご依頼ください。
オフィスビルの賃貸契約で、敷金や礼金はどの程度必要ですか？,物件や地域によって異なりますが、一般的に敷金は賃料の6ヶ月～12ヶ月分、礼金は0ヶ月～2ヶ月分程度が目安となります。
専用線インターネット接続サービスのSLA（サービス品質保証制度）について教えてください。,稼働率99.99%以上を保証し、万が一基準を下回った場合には、ご利用料金の一部を減額する制度を設けております。詳細は契約約款をご確認ください。
このボードゲームのプレイ人数と平均プレイ時間はどれくらいですか？,プレイ人数は2～4人、平均プレイ時間は約45分～60分です。ルール説明の時間を含めると初回はもう少し長くかかる場合があります。
名前入りのボールペンを注文したいのですが、書体は選べますか？,はい、明朝体、ゴシック体、筆記体など、数種類の書体からお選びいただけます。商品ページでシミュレーションも可能です。
イベントスペースの音響設備には何がありますか？マイクは何本使えますか？,ミキサー、スピーカー、パワーアンプを常設しております。有線マイク2本、ワイヤレスマイク2本までご利用いただけます。追加機材は別途ご相談ください。
キャリアコーチングでは、どのような成果が期待できますか？,自己理解の深化、キャリアプランの明確化、強みやスキルの発見、転職・昇進支援、ワークライフバランスの改善などが期待できます。
コンテンツマーケティング用のブログ記事作成を依頼する場合、1記事あたりの文字数はどのくらいが目安ですか？,ターゲットキーワードやテーマによって異なりますが、一般的にはSEO効果と読者の満足度を考慮し、2000～5000文字程度を目安としています。
この洗剤は蛍光増白剤を使用していますか？,いいえ、こちらの洗剤は蛍光増白剤、漂白剤、着色料を一切使用しておりません。敏感肌の方にもお使いいただけます。
ヴィンテージ万年筆の修理は可能ですか？,部品の入手状況にもよりますが、可能な範囲で修理を承っております。一度お品物を拝見させていただければ、修理可否と見積もりをご連絡いたします。
ドールハウスキットの縮尺（スケール）はどれくらいですか？,こちらのキットは1/12スケールで設計されています。一般的なドールハウスの標準的なサイズです。
世界の珍しいお菓子が届くサブスクリプションボックスは、アレルギー対応は可能ですか？,申し訳ございませんが、特定のアレルギーへの完全な対応は困難です。原材料表示をご確認の上、お客様ご自身でご判断いただくようお願いしております。
サイバーセキュリティ対策講座では、どのような脅威について学べますか？,マルウェア、ランサムウェア、フィッシング詐欺、標的型攻撃、DoS/DDoS攻撃など、最新のサイバー脅威の種類と手口、およびその対策方法について学びます。
住宅ローン借り換えの相談は無料ですか？,はい、初回のご相談は無料です。現在のローン状況やお客様のご希望をお伺いし、借り換えのメリット・デメリットや最適なプランをご提案します。
スキューバダイビングのライセンス取得コースの期間と費用を教えてください。,学科講習、プール講習、海洋実習を含め、最短3日間で取得可能です。費用は教材費、申請料込みで約7万円～9万円程度です。
エアコンから水漏れしているのですが、修理費用はどのくらいかかりますか？,原因によって異なります。ドレンホースの詰まりなど軽微な場合は数千円程度、部品交換が必要な場合は1万円～数万円かかることもあります。まずは点検にお伺いします。
クラウド会計ソフトの乗り換えを検討しています。データ移行はサポートしてもらえますか？,はい、既存の会計ソフトからのデータ移行サポートプランをご用意しております。CSV形式でのエクスポート・インポートが主な方法となります。
この熟成チーズは、どのくらいの期間熟成されていますか？,こちらのチーズは、最低18ヶ月間、専用の熟成庫でじっくりと熟成させています。深いコクと豊かな香りをお楽しみください。
タイ古式マッサージは痛いですか？,「二人で行うヨガ」とも呼ばれ、ストレッチ要素が多いですが、お客様の体の状態に合わせて圧や伸びの強さを調整しますので、痛みを感じることは少ないです。ご遠慮なくお申し付けください。
街路樹の枝が伸びてきて困っています。どこに連絡すればよいですか？,お住まいの市区町村の道路管理担当課または公園緑地課にご連絡ください。現地の状況を確認し、必要に応じて剪定作業を行います。
PHEV（プラグインハイブリッド車）の燃費は、ガソリン車と比べてどのくらい良いですか？,EV走行とハイブリッド走行を組み合わせるため、同クラスのガソリン車と比較して大幅に燃費が良い場合が多いです。カタログ値や実燃費レポートをご参照ください。
居抜き物件で飲食店を開業する場合の注意点はありますか？,前店舗の設備や内装がそのまま使えるメリットがありますが、リース契約の引継ぎ条件、設備の老朽化、必要な許認可の再取得などを十分に確認する必要があります。
法人向け光回線で、固定IPアドレスは取得できますか？,はい、固定IPアドレスを1個または複数個割り当てるオプションサービスをご用意しております。サーバー運営や拠点間VPN接続にご利用いただけます。
この積み木はどのような木材で作られていますか？安全性は大丈夫ですか？,ヨーロッパ産のブナ材を使用し、舐めても安全な植物性塗料で仕上げています。ヨーロッパの安全基準CEマークを取得しております。
オリジナルのイラストをプリントしたTシャツを作りたいのですが、1枚からでも注文できますか？,はい、1枚からでもご注文いただけます。プリント方法やTシャツの種類によって価格が異なりますので、ウェブサイトでお見積もりください。
貸し会議室でプロジェクターやスクリーンは借りられますか？,はい、プロジェクター、スクリーン、ホワイトボード、マイクセットなどの備品を有料で貸し出しております。ご予約時にお申し付けください。
プレゼンテーションスキル向上のための研修はありますか？,はい、構成力、表現力、質疑応答スキルなどを体系的に学ぶ研修プログラムをご用意しております。実践練習やフィードバックも充実しています。
PPC広告の運用代行を依頼した場合、レポートはどのくらいの頻度でもらえますか？,基本的には月次レポートをご提出し、ご希望に応じて週次での簡易レポートや定例ミーティングも実施いたします。
オーガニックコットンのタオルは、普通のコットンとどう違いますか？,オーガニックコットンは、3年以上農薬や化学肥料を使用していない土壌で栽培された綿花です。肌触りが柔らかく、環境負荷も少ないのが特徴です。
古い海外メーカーのカメラレンズの修理は可能ですか？,部品の入手が困難な場合や、特殊な構造のレンズは修理できないこともございますが、まずは一度ご相談ください。提携の専門業者で対応可能な場合もございます。
ミニチュアフード制作キットで、食品サンプルは作れますか？,こちらのキットは樹脂粘土やレジンを使用しており、観賞用のミニチュアを制作するものです。食品サンプルとは素材や製法が異なります。
毎月届くクラフトビールのサブスクリプションで、苦手なスタイルを除外できますか？,はい、アンケートやマイページで苦手なビアスタイル（IPA、スタウトなど）をご登録いただければ、そのスタイルを避けてお届けするよう調整いたします。
AI（人工知能）開発コースを修了すると、どのような職種に就けますか？,AIエンジニア、データサイエンティスト、機械学習エンジニア、AIプランナーなど、AI関連の様々な職種で活躍できる可能性があります。キャリアサポートも行っています。
NISA口座の金融機関を変更したいのですが、手続きはどうすればよいですか？,現在の金融機関で「勘定廃止通知書」または「非課税口座廃止通知書」を取得し、新しい金融機関で「非課税口座開設届出書」とともに提出することで変更可能です。
ホエールウォッチングツアーでクジラに会える確率はどのくらいですか？,自然相手のため100%ではありませんが、シーズン中（例：12月～4月）であれば90%以上の高い確率で遭遇できています。万が一見られなかった場合の返金保証制度があるツアーもございます。
蜂の巣ができてしまいました。自分で駆除しても大丈夫ですか？,スズメバチなど危険な蜂の場合は専門業者にご依頼ください。アシナガバチなど比較的大人しい蜂でも、刺激すると刺される危険性があるため、無理な自己処理は避けてください。
MA（マーケティングオートメーション）ツールの選定から運用までサポートしてもらえますか？,はい、お客様のマーケティング戦略に最適なMAツールの選定、シナリオ設計、コンテンツ作成、運用代行、効果測定まで一貫してサポートいたします。
このワインのブドウ品種と生産年を教えてください。,こちらのワインは、カベルネ・ソーヴィニヨン100%で、2019年産のブドウを使用しています。ラベルに詳細が記載されております。
リフレクソロジーは痛みを伴いますか？,足裏の反射区を刺激するため、お体の状態によっては多少の痛みを感じる方もいらっしゃいますが、力加減は調整可能です。心地よい刺激でリラックス効果も期待できます。
道路に穴が開いているのを見つけました。どこに連絡すればよいですか？,その道路を管理している市区町村の道路管理課、または都道府県の土木事務所にご連絡ください。国道の場合は、国土交通省の国道事務所が管轄です。
燃料電池車（FCV）の水素充填にかかる時間はどのくらいですか？,1回の充填にかかる時間は約3分～5分程度と、ガソリン車の給油時間とほぼ変わりません。
シェアオフィスの月額料金には何が含まれていますか？,デスク利用料、インターネット接続料、共用スペース（ラウンジ、会議室一部）利用料、水道光熱費などが含まれるのが一般的です。詳細はプランをご確認ください。
IP電話サービスで、現在の電話番号を引き続き利用できますか？,番号ポータビリティ（LNP）を利用することで、一部の電話番号を除き、現在ご利用中の固定電話番号をそのままIP電話サービスで利用可能です。
この木製玩具に使用されている塗料は安全ですか？,はい、ヨーロッパの玩具安全基準EN71に適合した、舐めても安全な水性塗料を使用しています。
